Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
CJ Jordan (ENG),2014-2015,8,11,1,180,35,18,0,0,0,#NAME?
NGB Cook (ENG),1983-1989,15,25,4,179,31,8.52,0,0,2,#NAME?
N Gifford (ENG),1964-1973,15,20,9,179,25*,16.27,0,0,1,#NAME?
JFW Nicolson (SA),1928-1928,3,5,0,179,78,35.8,0,1,0,#NAME?
AD Ogilvie (AUS),1977-1978,5,10,0,178,47,17.8,0,0,3,#NAME?
HM Goonatilleke (SL),1982-1982,5,10,2,177,56,22.12,0,1,1,#NAME?
LV Maddocks (AUS),1954-1956,7,12,2,177,69,17.7,0,1,3,#NAME?
T Richardson (ENG),1893-1898,14,24,8,177,25*,11.06,0,0,3,#NAME?
Younis Ahmed (PAK),1969-1987,4,7,1,177,62,29.5,0,1,1,#NAME?
CR Browne (WI),1928-1930,4,8,1,176,70*,25.14,0,1,2,#NAME?
NG Cowans (ENG),1982-1985,19,29,7,175,36,7.95,0,0,5,#NAME?
EW Dawson (ENG),1928-1930,5,9,0,175,55,19.44,0,1,0,#NAME?
C Pringle (NZ),1990-1995,14,21,4,175,30,10.29,0,0,7,#NAME?
XC Balaskas (SA),1930-1939,9,13,1,174,122*,14.5,1,0,5,#NAME?
SSJ Brooks (WI),2019-2019,3,5,0,174,111,34.8,1,1,1,#NAME?
RJ Inverarity (AUS),1968-1972,6,11,1,174,56,17.4,0,1,1,#NAME?
CR Miller (AUS),1998-2001,18,24,3,174,43,8.28,0,0,7,#NAME?
CH Morris (SA),2016-2017,4,7,0,173,69,24.71,0,1,0,#NAME?
KH Weekes (WI),1939-1939,2,3,0,173,137,57.66,1,0,0,#NAME?
Inshan Ali (WI),1971-1977,12,18,2,172,25,10.75,0,0,3,#NAME?
ST Clarke (WI),1978-1982,11,16,5,172,35*,15.63,0,0,2,#NAME?
MF Kent (AUS),1981-1981,3,6,0,171,54,28.5,0,2,0,#NAME?
CS Pandit (INDIA),1986-1992,5,8,1,171,39,24.42,0,0,0,#NAME?
OC Scott (WI),1928-1931,8,13,3,171,35,17.1,0,0,1,#NAME?
GM Carew (WI),1935-1949,4,7,1,170,107,28.33,1,0,1,#NAME?
C Gladwin (ENG),1947-1949,8,11,5,170,51*,28.33,0,1,0,#NAME?
MJ Hartigan (AUS),1908-1908,2,4,0,170,116,42.5,1,0,0,#NAME?
J Iddon (ENG),1935-1935,5,7,1,170,73,28.33,0,2,3,#NAME?
C Ramaswami (INDIA),1936-1936,2,4,1,170,60,56.66,0,1,0,#NAME?
Tanvir Ahmed (PAK),2010-2013,5,7,2,170,57,34,0,1,0,#NAME?
KC Ibrahim (INDIA),1948-1949,4,8,0,169,85,21.12,0,1,1,#NAME?
RA Young (NZ),2011-2011,5,10,3,169,57,24.14,0,1,1,#NAME?
SE Bond (NZ),2001-2009,18,20,7,168,41*,12.92,0,0,1,#NAME?
SH Curnow (SA),1930-1932,7,14,0,168,47,12,0,0,0,#NAME?
FGJ Ford (ENG),1894-1895,5,9,0,168,48,18.66,0,0,1,#NAME?
F Hearne (ENG/SA),1889-1896,6,10,0,168,30,16.8,0,0,2,#NAME?
WVS Ling (SA),1921-1923,6,10,0,168,38,16.8,0,0,3,#NAME?
Anil Dalpat (PAK),1984-1985,9,12,1,167,52,15.18,0,1,0,#NAME?
BS Chandrasekhar (INDIA),1964-1979,58,80,39,167,22,4.07,0,0,23,#NAME?
M Watkinson (ENG),1995-1996,4,6,1,167,82*,33.4,0,1,1,#NAME?
SW Ambris (WI),2017-2018,6,12,1,166,43,15.09,0,0,2,#NAME?
JP Fellows-Smith (SA),1960-1960,4,8,2,166,35,27.66,0,0,0,#NAME?
EAC Hunte (WI),1930-1930,3,6,1,166,58,33.2,0,2,0,#NAME?
KR Pushpakumara (SL),1994-2001,23,31,12,166,44,8.73,0,0,5,#NAME?
RJ Westcott (SA),1954-1958,5,9,0,166,62,18.44,0,1,2,#NAME?
Abul Hasan (BDESH),2012-2013,3,5,3,165,113,82.5,1,0,0,#NAME?
PK Sen (INDIA),1948-1952,14,18,4,165,25,11.78,0,0,1,#NAME?
ML Su'a (NZ),1992-1995,13,18,5,165,44,12.69,0,0,5,#NAME?
MC Henriques (AUS),2013-2016,4,8,1,164,81*,23.42,0,2,2,#NAME?
Mosaddek Hossain (BDESH),2017-2019,3,6,2,164,75,41,0,1,0,#NAME?
OJ Pope (ENG),2018-2019,4,6,0,164,75,27.33,0,1,0,#NAME?
PH Punjabi (INDIA),1955-1955,5,10,0,164,33,16.4,0,0,0,#NAME?
A Ratra (INDIA),2002-2002,6,10,1,163,115*,18.11,1,0,1,#NAME?
RE Redmond (NZ),1973-1973,1,2,0,163,107,81.5,1,1,0,#NAME?
HD Ackerman (SA),1998-1998,4,8,0,161,57,20.12,0,1,0,#NAME?
CJ Poole (ENG),1951-1952,3,5,1,161,69*,40.25,0,2,0,#NAME?
WJ Whitty (AUS),1909-1912,14,19,7,161,39*,13.41,0,0,3,#NAME?
EG Arnold (ENG),1903-1907,10,15,3,160,40,13.33,0,0,5,#NAME?
CL Badcock (AUS),1936-1938,7,12,1,160,118,14.54,1,0,4,#NAME?
CI Dunusinghe (SL),1995-1995,5,10,0,160,91,16,0,1,3,#NAME?
T Emmett (ENG),1877-1882,7,13,1,160,48,13.33,0,0,1,#NAME?
CH Parkin (ENG),1920-1924,10,16,3,160,36,12.3,0,0,1,#NAME?
OJ Phillips (WI),2009-2009,2,4,0,160,94,40,0,1,0,#NAME?
CT Studd (ENG),1882-1883,5,9,1,160,48,20,0,0,2,#NAME?
PD Lashley (WI),1960-1966,4,7,0,159,49,22.71,0,0,1,#NAME?
DD Taylor (NZ),1947-1956,3,5,0,159,77,31.8,0,1,0,#NAME?
CEH Croft (WI),1977-1982,27,37,22,158,33,10.53,0,0,6,#NAME?
WP Howell (AUS),1898-1904,18,27,6,158,35,7.52,0,0,8,#NAME?
GF Labrooy (SL),1986-1991,9,14,3,158,70*,14.36,0,1,3,#NAME?
DR O'Sullivan (NZ),1973-1976,11,21,4,158,23*,9.29,0,0,2,#NAME?
SC Griffith (ENG),1948-1949,3,5,0,157,140,31.4,1,0,1,#NAME?
AP Lucas (ENG),1879-1884,5,9,1,157,55,19.62,0,1,0,#NAME?
DAR Moloney (NZ),1937-1937,3,6,0,156,64,26,0,1,1,#NAME?
Naushad Ali (PAK),1965-1965,6,11,0,156,39,14.18,0,0,0,#NAME?
Z de Bruyn (SA),2004-2004,3,5,1,155,83,38.75,0,1,0,#NAME?
Hasan Ali (PAK),2017-2019,9,15,5,155,29,15.5,0,0,3,#NAME?
Rashid Khan (PAK),1982-1985,4,6,3,155,59,51.66,0,1,1,#NAME?
AP Freeman (ENG),1924-1929,12,16,5,154,50*,14,0,1,2,#NAME?
I Meckiff (AUS),1957-1963,18,20,7,154,45*,11.84,0,0,2,#NAME?
SMJ Woods (AUS/ENG),1888-1896,6,10,0,154,53,15.4,0,1,2,#NAME?
Akram Raza (PAK),1989-1995,9,12,2,153,32,15.3,0,0,3,#NAME?
HF Boyle (AUS),1879-1884,12,16,4,153,36*,12.75,0,0,2,#NAME?
OC da Costa (WI),1930-1935,5,9,1,153,39,19.12,0,0,1,#NAME?
R Dumbrill (SA),1965-1967,5,10,0,153,36,15.3,0,0,0,#NAME?
RG Gregory (AUS),1937-1937,2,3,0,153,80,51,0,2,0,#NAME?
TJ Matthews (AUS),1912-1912,8,10,1,153,53,17,0,1,1,#NAME?
J O'Connor (ENG),1929-1930,4,7,0,153,51,21.85,0,1,1,#NAME?
PCR Tufnell (ENG),1990-2001,42,59,29,153,22*,5.1,0,0,15,#NAME?
RG de Alwis (SL),1983-1988,11,19,0,152,28,8,0,0,5,#NAME?
AJ Pycroft (ZIM),1992-1992,3,5,0,152,60,30.4,0,1,0,#NAME?
EFS Tylecote (ENG),1882-1886,6,9,1,152,66,19,0,1,4,#NAME?
FJ Cameron (WI),1948-1949,5,7,1,151,75*,25.16,0,1,1,#NAME?
RK Oxenham (AUS),1928-1931,7,10,0,151,48,15.1,0,0,2,#NAME?
SR Patel (ENG),2012-2015,6,9,0,151,42,16.77,0,0,2,#NAME?
WR Playle (NZ),1958-1963,8,15,0,151,65,10.06,0,1,3,#NAME?
W Attewell (ENG),1884-1892,10,15,6,150,43*,16.66,0,0,4,#NAME?
AE Fagg (ENG),1936-1939,5,8,0,150,39,18.75,0,0,0,#NAME?
JD Nel (SA),1949-1957,6,11,0,150,38,13.63,0,0,1,#NAME?
GJ Batty (ENG),2003-2016,9,12,2,149,38,14.9,0,0,2,#NAME?
P Kumar (INDIA),2011-2011,6,10,0,149,40,14.9,0,0,2,#NAME?
J Birkenshaw (ENG),1973-1974,5,7,0,148,64,21.14,0,1,1,#NAME?
Ibrahim Zadran (AFG),2019-2019,2,4,0,148,87,37,0,1,0,#NAME?
Shadab Kabir (PAK),1996-2002,5,7,0,148,55,21.14,0,1,0,#NAME?
BJT Bosanquet (ENG),1903-1905,7,14,3,147,27,13.36,0,0,0,#NAME?
SC Joseph (WI),2004-2007,5,10,0,147,45,14.7,0,0,1,#NAME?
S Randiv (SL),2010-2012,12,17,1,147,39,9.18,0,0,3,#NAME?
NB Mahwire (ZIM),2002-2005,10,17,6,147,50*,13.36,0,1,2,#NAME?
CS Nayudu (INDIA),1934-1952,11,19,3,147,36,9.18,0,0,3,#NAME?
NAT Adcock (SA),1953-1962,26,39,12,146,24,5.4,0,0,9,#NAME?
A Balbirnie (IRE),2018-2019,3,6,0,146,82,24.33,0,2,2,#NAME?
RW McLeod (AUS),1892-1893,6,11,0,146,31,13.27,0,0,0,#NAME?
Sikander Bakht (PAK),1976-1983,26,35,12,146,22*,6.34,0,0,4,#NAME?
CL White (AUS),2008-2008,4,7,2,146,46,29.2,0,0,0,#NAME?
Zubayr Hamza (SA),2019-2019,3,6,0,146,62,24.33,0,1,2,#NAME?
Lord Harris (ENG),1879-1884,4,6,1,145,52,29,0,1,0,#NAME?
R Howorth (ENG),1947-1948,5,10,2,145,45*,18.12,0,0,0,#NAME?
EH Mattis (WI),1981-1981,4,5,0,145,71,29,0,1,1,#NAME?
BP Patterson (WI),1986-1992,28,38,16,145,21*,6.59,0,0,8,#NAME?
Mohammad Nazir (PAK),1969-1983,14,18,10,144,29*,18,0,0,3,#NAME?
KR Patterson (AUS),2019-2019,2,2,1,144,114*,144,1,0,0,#NAME?
W Place (ENG),1948-1948,3,6,1,144,107,28.8,1,0,0,#NAME?
Zulfiqar Babar (PAK),2013-2016,15,18,9,144,56,16,0,1,2,#NAME?
EL a'Beckett (AUS),1928-1932,4,7,0,143,41,20.42,0,0,0,#NAME?
RE Marshall (WI),1951-1952,4,7,0,143,30,20.42,0,0,1,#NAME?
CPH Ramanayake (SL),1988-1993,18,24,9,143,34*,9.53,0,0,7,#NAME?
JA Warrican (WI),2015-2019,8,14,9,142,41,28.4,0,0,1,#NAME?
SS Dighe (INDIA),2001-2001,6,10,1,141,47,15.66,0,0,1,#NAME?
DRE Joseph (WI),1999-1999,4,7,0,141,50,20.14,0,1,0,#NAME?
GB Lawrence (SA),1961-1962,5,8,0,141,43,17.62,0,0,2,#NAME?
Mohammad Asif (PAK),2005-2010,23,38,13,141,29,5.64,0,0,14,#NAME?
SS Naik (INDIA),1974-1975,3,6,0,141,77,23.5,0,1,1,#NAME?
AL Valentine (WI),1950-1962,36,51,21,141,14,4.7,0,0,12,#NAME?
R Chandrika (WI),2015-2016,5,10,0,140,37,14,0,0,3,#NAME?
TS Curtis (ENG),1988-1989,5,9,0,140,41,15.55,0,0,1,#NAME?
GR Robertson (AUS),1998-1998,4,7,0,140,57,20,0,1,2,#NAME?
DW Begbie (SA),1948-1950,5,7,0,138,48,19.71,0,0,0,#NAME?
Faheem Ashraf (PAK),2018-2019,4,6,0,138,83,23,0,1,2,#NAME?
Hashmatullah Shahidi (AFG),2018-2019,3,6,2,138,61,34.5,0,1,0,#NAME?
DB Pithey (SA),1963-1967,8,12,1,138,55,12.54,0,1,1,#NAME?
FT Badcock (NZ),1930-1933,7,9,2,137,64,19.57,0,2,3,#NAME?
LS Birkett (WI),1930-1931,4,8,0,136,64,17,0,1,1,#NAME?
JW D'Arcy (NZ),1958-1958,5,10,0,136,33,13.6,0,0,0,#NAME?
TV Hohns (AUS),1989-1989,7,7,1,136,40,22.66,0,0,1,#NAME?
Rahat Ali (PAK),2013-2018,21,31,13,136,35*,7.55,0,0,8,#NAME?
Surendranath (INDIA),1958-1961,11,20,7,136,27,10.46,0,0,4,#NAME?
Afsar Zazai (AFG),2018-2019,3,6,1,135,48*,27,0,0,0,#NAME?
KBJ Azad (INDIA),1981-1983,7,12,0,135,24,11.25,0,0,2,#NAME?
DB Carr (ENG),1951-1952,2,4,0,135,76,33.75,0,1,0,#NAME?
A Dananjaya (SL),2018-2019,6,10,2,135,43*,16.87,0,0,3,#NAME?
Azeem Hafeez (PAK),1983-1985,18,21,5,134,24,8.37,0,0,2,#NAME?
DA Sharpe (PAK),1959-1959,3,6,0,134,56,22.33,0,1,0,#NAME?
N Pradeep (SL),2011-2017,28,50,17,132,17*,4,0,0,18,#NAME?
TCB Fernando (SL),2001-2002,9,8,3,132,45,26.4,0,0,1,#NAME?
PW Jarvis (ENG),1988-1993,9,15,2,132,29*,10.15,0,0,1,#NAME?
E Wainwright (ENG),1893-1898,5,9,0,132,49,14.66,0,0,0,#NAME?
EL Bartlett (WI),1928-1931,5,8,1,131,84,18.71,0,1,1,#NAME?
GC Dyer (AUS),1986-1988,6,6,0,131,60,21.83,0,1,1,#NAME?
DL Piedt (SA),2014-2019,9,12,1,131,56,11.9,0,1,2,#NAME?
V Rathour (INDIA),1996-1997,6,10,0,131,44,13.1,0,0,0,#NAME?
L Tuckett (SA),1947-1949,9,14,3,131,40*,11.9,0,0,3,#NAME?
Imran Tahir (SA),2011-2015,20,23,9,130,29*,9.28,0,0,2,#NAME?
L Sivaramakrishnan (INDIA),1983-1986,9,9,1,130,25,16.25,0,0,1,#NAME?
Hon.FSG Calthorpe (ENG),1930-1930,4,7,0,129,49,18.42,0,0,1,#NAME?
DR Doshi (INDIA),1979-1983,33,38,10,129,20,4.6,0,0,14,#NAME?
CV Gadkari (INDIA),1953-1955,6,10,4,129,50*,21.5,0,1,2,#NAME?
H Gimblett (ENG),1936-1939,3,5,1,129,67*,32.25,0,1,0,#NAME?
JR Mason (ENG),1897-1898,5,10,0,129,32,12.9,0,0,1,#NAME?
RW Tolchard (ENG),1977-1977,4,7,2,129,67,25.8,0,1,1,#NAME?
IJ Ward (ENG),2001-2001,5,9,1,129,39,16.12,0,0,1,#NAME?
HR Bromley-Davenport (ENG),1896-1899,4,6,0,128,84,21.33,0,1,1,#NAME?
M Hendrick (ENG),1974-1981,30,35,15,128,15,6.4,0,0,8,#NAME?
RK Illingworth (ENG),1991-1995,9,14,7,128,28,18.28,0,0,3,#NAME?
BP Julian (AUS),1993-1995,7,9,1,128,56*,16,0,1,3,#NAME?
D Smith (ENG),1935-1935,2,4,0,128,57,32,0,1,1,#NAME?
PM Walker (ENG),1960-1960,3,4,0,128,52,32,0,1,0,#NAME?
S Chattergoon (WI),2008-2008,4,7,0,127,46,18.14,0,0,0,#NAME?
GR Larsen (NZ),1994-1996,8,13,4,127,26*,14.11,0,0,2,#NAME?
AD Mullally (ENG),1996-2001,19,27,4,127,24,5.52,0,0,12,#NAME?
PJR Steyn (SA),1995-1995,3,6,0,127,46,21.16,0,0,0,#NAME?
ES Atkinson (WI),1958-1959,8,9,1,126,37,15.75,0,0,3,#NAME?
NE Haig (ENG),1921-1930,5,9,0,126,47,14,0,0,2,#NAME?
JT Hearne (ENG),1892-1899,12,18,4,126,40,9,0,0,3,#NAME?
KM Jarvis (ZIM),2011-2018,12,22,10,126,25*,10.5,0,0,4,#NAME?
E Jones (AUS),1894-1902,19,26,1,126,20,5.04,0,0,5,#NAME?
DL Bairstow (ENG),1979-1981,4,7,1,125,59,20.83,0,1,1,#NAME?
JB Commins (SA),1994-1995,3,6,1,125,45,25,0,0,1,#NAME?
Marshall Ayub (BDESH),2013-2014,3,6,0,125,41,20.83,0,0,0,#NAME?
WFE Marx (SA),1921-1921,3,6,0,125,36,20.83,0,0,1,#NAME?
Nazimuddin (BDESH),2011-2012,3,6,0,125,78,20.83,0,1,2,#NAME?
DM Richards (WI),2009-2010,3,6,0,125,69,20.83,0,1,1,#NAME?
S Samarawickrama (SL),2017-2017,4,8,0,125,38,15.62,0,0,2,#NAME?
CW Wright (ENG),1896-1896,3,4,0,125,71,31.25,0,1,0,#NAME?
HMCM Bandara (SL),1998-2006,8,11,3,124,43,15.5,0,0,2,#NAME?
CJ Chibhabha (ZIM),2016-2017,3,6,0,124,60,20.66,0,1,0,#NAME?
C Overton (ENG),2017-2019,4,8,2,124,41*,20.66,0,0,0,#NAME?
DA Reeve (ENG),1992-1992,3,5,0,124,59,24.8,0,1,1,#NAME?
RJ Crisp (SA),1935-1936,9,13,1,123,35,10.25,0,0,5,#NAME?
IB Cromb (NZ),1931-1932,5,8,2,123,51*,20.5,0,1,1,#NAME?
Manzoor Elahi (PAK),1984-1995,6,10,2,123,52,15.37,0,1,3,#NAME?
CS Martin (NZ),2000-2013,71,104,52,123,12*,2.36,0,0,36,#NAME?
BA Murphy (ZIM),2000-2001,11,15,3,123,30,10.25,0,0,3,#NAME?
Pervez Sajjad (PAK),1964-1973,19,20,11,123,24,13.66,0,0,2,#NAME?
AB Fudadin (WI),2012-2012,3,5,1,122,55,30.5,0,1,0,#NAME?
Junaid Khan (PAK),2011-2015,22,28,11,122,17,7.17,0,0,5,#NAME?
Mohammad Sharif (BDESH),2001-2007,10,20,3,122,24*,7.17,0,0,7,#NAME?
AH Omarshah (ZIM),1992-1996,3,5,0,122,62,24.4,0,1,0,#NAME?
EA Brandes (ZIM),1992-1999,10,15,3,121,39,10.08,0,0,2,#NAME?
JG Dewes (ENG),1948-1950,5,10,0,121,67,12.1,0,1,1,#NAME?
TW Wall (AUS),1929-1934,18,24,5,121,20,6.36,0,0,5,#NAME?
A Mithun (INDIA),2010-2011,4,5,0,120,46,24,0,0,1,#NAME?
RJ Bailey (ENG),1988-1990,4,8,0,119,43,14.87,0,0,2,#NAME?
MAR Samarasekera (SL),1988-1991,4,7,0,118,57,16.85,0,1,1,#NAME?
AC Smith (ENG),1962-1963,6,7,3,118,69*,29.5,0,1,0,#NAME?
BGK Walker (NZ),2000-2002,5,8,2,118,27*,19.66,0,0,1,#NAME?
SI de Saram (SL),1999-2000,4,5,0,117,39,23.4,0,0,0,#NAME?
Salahuddin (PAK),1965-1969,5,8,2,117,34*,19.5,0,0,0,#NAME?
PADLR Sandakan (SL),2016-2018,11,17,6,117,25,10.63,0,0,0,#NAME?
WH St Hill (WI),1928-1930,3,6,0,117,38,19.5,0,0,0,#NAME?
FJ Cameron (NZ),1961-1965,19,30,20,116,27*,11.6,0,0,4,#NAME?
W Farrimond (ENG),1931-1935,4,7,0,116,35,16.57,0,0,0,#NAME?
FM King (WI),1953-1956,14,17,3,116,21,8.28,0,0,4,#NAME?
EA McDonald (AUS),1921-1921,11,12,5,116,36,16.57,0,0,1,#NAME?
F Mitchell (ENG/SA),1899-1912,5,10,0,116,41,11.6,0,0,1,#NAME?
RP Singh (INDIA),2006-2011,14,19,3,116,30,7.25,0,0,7,#NAME?
DH Brain (ZIM),1992-1995,9,13,2,115,28,10.45,0,0,4,#NAME?
PJ Martin (ENG),1995-1997,8,13,0,115,29,8.84,0,0,2,#NAME?
H Morris (ENG),1991-1991,3,6,0,115,44,19.16,0,0,0,#NAME?
Nurul Hasan (BDESH),2017-2018,3,6,0,115,64,19.16,0,1,3,#NAME?
GR Beard (AUS),1980-1980,3,5,0,114,49,22.8,0,0,0,#NAME?
ML Cummins (WI),2016-2019,14,22,7,114,24*,7.6,0,0,6,#NAME?
RKJ Dawson (ENG),2001-2003,7,13,3,114,19*,11.4,0,0,0,#NAME?
JJ Ferris (AUS/ENG),1887-1892,9,17,4,114,20*,8.76,0,0,1,#NAME?
RE Grieveson (SA),1939-1939,2,2,0,114,75,57,0,1,0,#NAME?
GPD Hartigan (SA),1912-1914,5,10,0,114,51,11.4,0,1,3,#NAME?
ERT Holmes (ENG),1935-1935,5,9,2,114,85*,16.28,0,1,2,#NAME?
AR Whittall (ZIM),1996-1999,10,18,3,114,17,7.6,0,0,1,#NAME?
CFW Allcott (NZ),1930-1932,6,7,2,113,33,22.6,0,0,0,#NAME?
S Haigh (ENG),1899-1912,11,18,3,113,25,7.53,0,0,4,#NAME?
HG Kuhn (SA),2017-2017,4,8,0,113,34,14.12,0,0,0,#NAME?
D Shackleton (ENG),1950-1963,7,13,7,113,42,18.83,0,0,0,#NAME?
EJ Smith (ENG),1911-1913,11,14,1,113,22,8.69,0,0,2,#NAME?
CT Tremlett (ENG),2007-2013,12,15,4,113,25*,10.27,0,0,3,#NAME?
EAV Williams (WI),1939-1948,4,6,0,113,72,18.83,0,1,1,#NAME?
ERNS Fernando (SL),1983-1984,5,10,0,112,46,11.2,0,0,3,#NAME?
AG Ganteaume (WI),1948-1948,1,1,0,112,112,112,1,0,0,#NAME?
GG Macaulay (ENG),1923-1933,8,10,4,112,76,18.66,0,1,1,#NAME?
GB Stevens (AUS),1959-1960,4,7,0,112,28,16,0,0,0,#NAME?
DM Bess (ENG),2018-2018,2,3,0,111,57,37,0,1,0,#NAME?
MR Bynoe (WI),1959-1967,4,6,0,111,48,18.5,0,0,0,#NAME?
JD Higgs (AUS),1978-1981,22,36,16,111,16,5.55,0,0,5,#NAME?
HS Kanitkar (INDIA),1974-1974,2,4,0,111,65,27.75,0,1,0,#NAME?
FL Reifer (WI),1997-2009,6,12,0,111,29,9.25,0,0,3,#NAME?
A Shaw (ENG),1877-1882,7,12,1,111,40,10.09,0,0,1,#NAME?
BM Duckett (ENG),2016-2016,4,7,0,110,56,15.71,0,1,1,#NAME?
Ihsanullah (AFG),2019-2019,3,6,1,110,65*,22,0,1,0,#NAME?
PJ Newport (ENG),1988-1991,3,5,1,110,40*,27.5,0,0,1,#NAME?
GE Vivian (NZ),1965-1972,5,6,0,110,43,18.33,0,0,1,#NAME?
TJ Murtagh (IRE),2018-2019,3,6,2,109,54*,27.25,0,1,0,#NAME?
SD Udal (ENG),2005-2006,4,7,1,109,33*,18.16,0,0,1,#NAME?
Yajurvindra Singh (INDIA),1977-1979,4,7,1,109,43*,18.16,0,0,0,#NAME?
JH Board (ENG),1899-1906,6,12,2,108,29,10.8,0,0,3,#NAME?
CG Butts (WI),1985-1988,7,8,1,108,38,15.42,0,0,1,#NAME?
GM Ewing (ZIM),2003-2005,3,6,0,108,71,18,0,1,2,#NAME?
Naoomal Jaoomal (INDIA),1932-1934,3,5,1,108,43,27,0,0,0,#NAME?
DA Stirling (NZ),1984-1986,6,9,2,108,26,15.42,0,0,0,#NAME?
SJ Cook (SA),1992-1993,3,6,0,107,43,17.83,0,0,1,#NAME?
CB Jennings (AUS),1912-1912,6,8,2,107,32,17.83,0,0,2,#NAME?
AB McDonald (AUS),2009-2009,4,6,1,107,68,21.4,0,1,1,#NAME?
AH McKinnon (SA),1960-1967,8,13,7,107,27,17.83,0,0,0,#NAME?
P Utseya (ZIM),2004-2013,4,8,1,107,45,15.28,0,0,2,#NAME?
EW Dempster (NZ),1953-1954,5,8,2,106,47,17.66,0,0,2,#NAME?
PHT Kaushal (SL),2014-2015,7,12,2,106,18,10.6,0,0,1,#NAME?
CFH Leslie (ENG),1882-1883,4,7,0,106,54,15.14,0,1,1,#NAME?
LS Pascoe (AUS),1977-1982,14,19,9,106,30*,10.6,0,0,3,#NAME?
MSK Prasad (INDIA),1999-2000,6,10,1,106,19,11.77,0,0,0,#NAME?
D Ramnarine (WI),1998-2002,12,21,4,106,35*,6.23,0,0,8,#NAME?
Rashid Khan (AFG),2018-2019,4,7,0,106,51,15.14,0,1,0,#NAME?
CJE Smith (SA),1902-1902,3,6,1,106,45,21.2,0,0,0,#NAME?
WJ Watson (AUS),1955-1955,4,7,1,106,30,17.66,0,0,1,#NAME?
GE Bradburn (NZ),1990-2001,7,10,2,105,30*,13.12,0,0,1,#NAME?
Javed Ahmadi (AFG),2018-2019,2,4,0,105,62,26.25,0,1,0,#NAME?
CB Mpofu (ZIM),2005-2017,15,28,10,105,33,5.83,0,0,9,#NAME?
LS Rajput (INDIA),1985-1985,2,4,0,105,61,26.25,0,1,1,#NAME?
GHT Simpson-Hayward (ENG),1910-1910,5,8,1,105,29*,15,0,0,1,#NAME?
CJ Adams (ENG),1999-2000,5,8,0,104,31,13,0,0,0,#NAME?
GFJ Liebenberg (SA),1998-1998,5,8,0,104,45,13,0,0,2,#NAME?
KR Rickards (WI),1948-1952,2,3,0,104,67,34.66,0,1,0,#NAME?
PR Stirling (IRE),2018-2019,3,6,0,104,36,17.33,0,0,1,#NAME?
M Bisset (SA),1899-1910,3,6,2,103,35,25.75,0,0,0,#NAME?
JW Hitch (ENG),1911-1921,7,10,3,103,51*,14.71,0,1,1,#NAME?
SB O'Connor (NZ),1997-2001,19,27,9,103,20,5.72,0,0,4,#NAME?
AG Hurst (AUS),1974-1979,12,20,3,102,26,6,0,0,10,#NAME?
R Lamba (INDIA),1986-1987,4,5,0,102,53,20.4,0,1,1,#NAME?
RM Prideaux (ENG),1968-1969,3,6,1,102,64,20.4,0,1,0,#NAME?
PM Pushpakumara (SL),2017-2018,4,8,2,102,42*,17,0,0,0,#NAME?
CIJ Smith (ENG),1935-1937,5,10,0,102,27,10.2,0,0,2,#NAME?
Aaqib Javed (PAK),1989-1998,22,27,7,101,28*,5.05,0,0,8,#NAME?
DD Beard (NZ),1952-1956,4,7,2,101,31,20.2,0,0,0,#NAME?
G Challenor (WI),1928-1928,3,6,0,101,46,16.83,0,0,2,#NAME?
SK Coen (SA),1927-1928,2,4,2,101,41*,50.5,0,0,0,#NAME?
CS Cowdrey (ENG),1984-1988,6,8,1,101,38,14.42,0,0,1,#NAME?
A Hill (ENG),1877-1877,2,4,2,101,49,50.5,0,0,1,#NAME?
KA Hope (WI),2017-2017,5,9,0,101,43,11.22,0,0,2,#NAME?
TA Harris (SA),1947-1949,3,5,1,100,60,25,0,1,0,#NAME?
Khan Mohammad (PAK),1952-1958,13,17,7,100,26*,10,0,0,3,#NAME?
RD Robinson (AUS),1977-1977,3,6,0,100,34,16.66,0,0,0,#NAME?
HA Furlonge (WI),1955-1956,3,5,0,99,64,19.8,0,1,1,#NAME?
Maninder Singh (INDIA),1982-1993,35,38,12,99,15,3.8,0,0,11,#NAME?
MN Nawaz (SL),2002-2002,1,2,1,99,78*,99,0,1,0,#NAME?
N Oldfield (ENG),1939-1939,1,2,0,99,80,49.5,0,1,0,#NAME?
Robiul Islam (BDESH),2010-2014,9,17,6,99,33,9,0,0,6,#NAME?
Shafiq Ahmed (PAK),1974-1981,6,10,1,99,27*,11,0,0,3,#NAME?
Shahriar Hossain (BDESH),2000-2004,3,5,0,99,48,19.8,0,0,0,#NAME?
Umar Amin (PAK),2010-2010,4,8,0,99,33,12.37,0,0,1,#NAME?
RK Chauhan (INDIA),1993-1998,21,17,3,98,23,7,0,0,1,#NAME?
CM Christiani (WI),1935-1935,4,7,2,98,32*,19.6,0,0,1,#NAME?
WM Clark (AUS),1977-1979,10,19,2,98,33,5.76,0,0,8,#NAME?
AC Cummins (WI),1993-1994,5,6,1,98,50,19.6,0,1,1,#NAME?
ELG Hoad (WI),1928-1933,4,8,0,98,36,12.25,0,0,1,#NAME?
S Muthusamy (SA),2019-2019,2,4,2,98,49*,49,0,0,0,#NAME?
IAR Peebles (ENG),1927-1931,13,17,8,98,26,10.88,0,0,3,#NAME?
